model,accuracy,high_precision,high_recall,high_f1,roc_auc,pr_auc
Logistic Regression,0.9803333333333333,0.9606714628297363,0.9823442864149092,0.9713870029097963,0.9983257555674941,0.9966445398111039
XGBoost,0.9743333333333334,0.949023344449738,0.9769494850416871,0.9627839536007733,0.9977129885436463,0.9957178407429879
LightGBM,0.9765,0.9553742802303263,0.9764590485532123,0.9658016007761339,0.9980553406998273,0.9963569077725438
Random Forest,0.9378333333333333,0.8821100917431193,0.9431093673369298,0.9115904242711543,0.988013588594733,0.9781657256112894
Gradient Boosting,0.9626666666666667,0.9539769884942472,0.935262383521334,0.9445269935611689,0.9940960039641036,0.9895064803775258
